m,n,ack
0,0,
0,1,2
0,2,3
0,3,4
0,4,5
0,5,6
0,6,7
0,7,8
0,8,9
0,9,10
0,10,11
0,11,12
0,12,13
0,13,14
0,14,15
0,15,16
0,16,17
0,17,18
0,18,19
0,19,20
0,20,21
0,21,22
0,22,23
0,23,24
0,24,25
0,25,26
0,26,27
0,27,28
0,28,29
0,29,30
0,30,31
0,31,32
0,32,33
0,33,34
0,34,35
0,35,36
0,36,37
0,37,38
0,38,39
0,39,40
0,40,41
0,41,42
0,42,43
0,43,44
0,44,45
0,45,46
0,46,47
0,47,48
0,48,49
0,49,50
0,50,51
0,51,52
0,52,53
0,53,54
0,54,55
0,55,56
0,56,57
0,57,58
0,58,59
0,59,60
0,60,61
0,61,62
0,62,63
0,63,64
0,64,65
0,65,66
0,66,67
0,67,68
0,68,69
0,69,70
0,70,71
0,71,72
0,72,73
0,73,74
0,74,75
0,75,76
0,76,77
0,77,78
0,78,79
0,79,80
0,80,81
0,81,82
0,82,83
0,83,84
0,84,85
0,85,86
0,86,87
0,87,88
0,88,89
0,89,90
0,90,91
0,91,92
0,92,93
0,93,94
0,94,95
0,95,96
0,96,97
0,97,98
0,98,99
0,99,100
0,100,101
0,101,102
0,102,103
0,103,104
0,104,105
0,105,106
0,106,107
0,107,108
0,108,109
0,109,110
0,110,111
0,111,112
0,112,113
0,113,114
0,114,115
0,115,116
0,116,117
0,117,118
0,118,119
0,119,120
0,120,121
0,121,122
0,122,123
0,123,124
0,124,125
1,0,2
1,1,3
1,2,4
1,3,5
1,4,6
1,5,7
1,6,8
1,7,9
1,8,10
1,9,11
1,10,12
1,11,13
1,12,14
1,13,15
1,14,16
1,15,17
1,16,18
1,17,19
1,18,20
1,19,21
1,20,22
1,21,23
1,22,24
1,23,25
1,24,26
1,25,27
1,26,28
1,27,29
1,28,30
1,29,31
1,30,32
1,31,33
1,32,34
1,33,35
1,34,36
1,35,37
1,36,38
1,37,39
1,38,40
1,39,41
1,40,42
1,41,43
1,42,44
1,43,45
1,44,46
1,45,47
1,46,48
1,47,49
1,48,50
1,49,51
1,50,52
1,51,53
1,52,54
1,53,55
1,54,56
1,55,57
1,56,58
1,57,59
1,58,60
1,59,61
1,60,62
1,61,63
1,62,64
1,63,65
1,64,66
1,65,67
1,66,68
1,67,69
1,68,70
1,69,71
1,70,72
1,71,73
1,72,74
1,73,75
1,74,76
1,75,77
1,76,78
1,77,79
1,78,80
1,79,81
1,80,82
1,81,83
1,82,84
1,83,85
1,84,86
1,85,87
1,86,88
1,87,89
1,88,90
1,89,91
1,90,92
1,91,93
1,92,94
1,93,95
1,94,96
1,95,97
1,96,98
1,97,99
1,98,100
1,99,101
1,100,102
1,101,103
1,102,104
1,103,105
1,104,106
1,105,107
1,106,108
1,107,109
1,108,110
1,109,111
1,110,112
1,111,113
1,112,114
1,113,115
1,114,116
1,115,117
1,116,118
1,117,119
1,118,120
1,119,121
1,120,122
1,121,123
1,122,124
1,123,125
2,0,3
2,1,5
2,2,7
2,3,9
2,4,11
2,5,13
2,6,15
2,7,17
2,8,19
2,9,21
2,10,23
2,11,25
2,12,27
2,13,29
2,14,31
2,15,33
2,16,35
2,17,37
2,18,39
2,19,41
2,20,43
2,21,45
2,22,47
2,23,49
2,24,51
2,25,53
2,26,55
2,27,57
2,28,59
2,29,61
2,30,63
2,31,65
2,32,67
2,33,69
2,34,71
2,35,73
2,36,75
2,37,77
2,38,79
2,39,81
2,40,83
2,41,85
2,42,87
2,43,89
2,44,91
2,45,93
2,46,95
2,47,97
2,48,99
2,49,101
2,50,103
2,51,105
2,52,107
2,53,109
2,54,111
2,55,113
2,56,115
2,57,117
2,58,119
2,59,121
2,60,123
2,61,125
3,0,5
3,1,13
3,2,29
3,3,61
3,4,125
